Channel Name,Channel ID,Description,Keep
阿石OMP,UCnixWoic7ATGI0AZ2LrtJ7Q,AI/ Tech,Yes
我是大仁哥,UCYKEwYNZXiJ20O3eJEgwPbQ,AI/ Tech,Yes
CodeShiba 程式柴,UCDOlnOIq5EjQt1ikKhs4XZg,AI/ Tech,Yes
彭彭的課程,UCguZS-y7codLSt6vpkVdnKg,AI/ Tech,Yes
Catherine Li,UCfbNkHkjYUjRGV67vVCOVsQ,AI/ Tech,Yes
Yolo 街  ,UCZXZcgbA7iajsWdPsAzJ40A,AI/ Tech,Yes
Lydia Hallie,UC4EWKIKdKiDtAscQ9BIXwUw,AI/ Tech,Yes
Terry Chen 泰瑞,UC_whOg3XES3Fihic53fvo4Q,AI/ Tech,Yes
Volka English,UCcvjK35lDPZTlkIrrwxpepg,English,Yes
Philosophize This!,UCjnpuIGovFFUBLG5BeHzTag,English,Yes
Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg,English,Yes
Veronika's Language Diaries,UCDSfasZ89XVcx2J-MiuQmfA,English,Yes
BBC News 中文,UCb3TZ4SD_Ys3j4z0-8o6auA,English,Yes
Henry 財自了,UCyckQMYsvusrVFzzB2MKYuw,Finance,Yes
阿豬 Ah Ju,UCBbTnorwzva0ZIMGW0ttwVA,Finance,Yes
阳阳,UCQLcgkiePOvLe-ZYgGn9rMg,Finance,Yes
a2ky9,UCqnmNf4lWmu75dj1yF_6ikw,Finance,Yes
Chatty English Studio,UCeVscsj9pweSRba74tRmlzA,English,Yes
LEP - Learn English Podcast,UCTHXJnuHzZ_QZb3E9W2aBNQ,English,Yes
Speak English With Class,UCbSpMDJ3X656Q3Sipoeqvmg,English,Yes
DEP - Daily English Podcast,UCAs99LJynz1DN4hzmRyGbpQ,English,Yes
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,English,Yes
VoiceTube 看影片學英語,UCa99X86NjYZzhz__nLKgPPg,English,Yes
JForrest English,UCLNBasuHKOILIwewAetJO6g,English,Yes
JP電腦教學,UC8KiyunvRWgmUb9OmisoBug,AI/ Tech,Yes
BBC News,UC16niRr50-MSBwiO3YDb3RA,News,Yes
The Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ,News,Yes
Learn English | Let's Talk - Free English Lessons,UCicjynhfFw2LiIQFnoS1JTw,English,Yes
